ts,src_ip,dest_ip,signature,category,app_proto,severity,community_id
2021-09-24T16:55:05.400852Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:D7zpOCtaZQDh/CM871RzD9dAfAs=
2021-09-24T16:55:06.071403Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:xHkuRQA9alIfOdJzFCAvlLktkDI=
2021-09-24T16:55:18.010484Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:HjcqQ4EClMVmYwGeYmIP3NGXCUQ=
2021-09-24T16:55:29.279054Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:Hg1XAOiqS7WhrW74Y8k0F+2JJUA=
2021-09-24T16:55:30.648796Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:kxoSWYMqqf5tKbq+DVpJu/yJPSE=
2021-09-24T16:55:42.412355Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:pYUl2/N11u1vTryuHDXvs+79Cwc=
2021-09-24T16:55:53.548616Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:QRXPfmfERqgnRyphGEskYlTxiYQ=
2021-09-24T16:55:55.015263Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:DljtefAQwEEDi9Xs7aQvD2mSmgs=
2021-09-24T16:56:03.686114Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:W241t7FHolWGeQK9RL0QkJPye2c=
2021-09-24T16:56:06.745678Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:oVymXA1xT2LusDSgwX6RQdGHPpY=
2021-09-24T16:56:12.131771Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:x0tE7HAJKG0bTEnniKltR4VP+Bo=
2021-09-24T16:56:12.697748Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:YMfGGGPi12eZ14GzH3S9onELbjU=
2021-09-24T16:56:19.249582Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:JCdlZ/UE2ZjIP6hhfRt4fSjrxfw=
2021-09-24T16:56:19.249691Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:R3ldYi/tkJeOclA9QHgvRSDS/EE=
2021-09-24T16:56:25.994341Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:xH0jRt3YokiIK/gKjPKEU6tUWhs=
2021-09-24T16:56:37.725742Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:Vk3ySxoO/9hM38wUEuss2f0Ol5o=
2021-09-24T16:56:38.532774Z,10.9.23.102,185.125.204.174,SURICATA STREAM excessive retransmissions,Generic Protocol Command Decode,tls,3,1:Vk3ySxoO/9hM38wUEuss2f0Ol5o=
2021-09-24T16:56:44.440174Z,10.9.23.102,208.91.128.6,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,http,1,1:MXnrtv10AL0j723vb/H5xRqayuQ=
2021-09-24T16:56:49.809436Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:I82TImLoR5JR1rCARnzfD6QcVBE=
2021-09-24T16:56:53.031616Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:Yfl/M/t+DOJgyq3RTkqj1pNW4Ug=
2021-09-24T16:57:02.128139Z,10.9.23.102,37.252.0.102,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:qDSQa2NirVr6lSKgdL9ymDIwdcY=
2021-09-24T16:57:03.692467Z,10.9.23.102,37.252.0.102,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:xz5VzDW4XYzFXxeDHAemNM5VbPc=
2021-09-24T16:57:04.714664Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:QtqpJPJ/jHynz/+tH7CeWYvRRyw=
2021-09-24T16:57:05.587663Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:ADywyEsd3Tm6BvxkrTdGwDg3kWo=
2021-09-24T16:57:07.746946Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:4zK4pTVm1JqyVHoliVSn/6xfj6s=
2021-09-24T16:57:09.19591Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:8imIbgSfT5uOWsawe8ibnTGMmlw=
2021-09-24T16:57:36.095603Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:AXdJSK+UNCTVrXKU/4R5BWZaSlI=
2021-09-24T16:57:36.962977Z,10.9.23.102,185.125.204.174,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:bwoHkP3FxHe2SLewDOAZDHHP1RE=
2021-09-24T16:58:11.997892Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:P0gvmLpFDfRMwRyHmK0CwGP9n3s=
2021-09-24T16:58:20.622375Z,10.9.23.102,136.232.34.70,ET JA3 Hash - [Abuse.ch] Possible Dridex,Unknown Traffic,tls,3,1:tJRAHcQazX639bc4T2ai5HmrMCg=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:R3ldYi/tkJeOclA9QHgvRSDS/EE=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:R3ldYi/tkJeOclA9QHgvRSDS/EE=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:QRXPfmfERqgnRyphGEskYlTxiYQ=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:QRXPfmfERqgnRyphGEskYlTxiYQ=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:Hg1XAOiqS7WhrW74Y8k0F+2JJUA=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE Possible SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:Hg1XAOiqS7WhrW74Y8k0F+2JJUA=
2021-09-24T16:58:25.551776Z,208.91.128.6,10.9.23.102,ET MALWARE SQUIRRELWAFFLE Server Response,Malware Command and Control Activity Detected,http,1,1:AJEx+Y+Pu/3A6EsJVRxumEKxuMU=
